task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	36.93	0	75.21	0	40.61	0
1	75.1	1	67.94	1	40.66	1
2	73.54	2	81.54	2	83.41	2
3	75.4	3	72.59	3	74.67	3
4	35.8	0	74.13	1	83.25	0
5	35.74	0	40.89	1	40.72	1
6	43.17	0	72.59	1	36.19	1
7	38.68	0	35.55	0	73.49	1
8	48.53	0	36.65	0	37.69	1
9	49.06	0	35.3	0	35.96	1
10	35.54	0	35.35	0	36.15	1
11	44.21	0	37.78	0	46.75	1
12	37.05	0	45.13	0	76.95	1
13	35.47	0	43.23	0	35.83	1
14	41.0	0	47.4	0	80.57	1
15	36.76	0	80.91	0	37.59	1
16	37.42	0	72.2	0	75.18	1
17	35.33	0	64.25	0	76.9	1
18	40.18	0	35.46	0	55.79	1
19	90.2	2	42.16	0	75.76	1
20	34.07	0	40.79	0	72.81	1
21	36.71	0	35.87	0	36.85	1
22	35.56	0	50.06	0	71.96	1
23	38.16	0	35.66	0	36.7	1
24	40.62	0	33.99	0	85.72	1
